	cluster	instances	deposits	length
0	['DOD', 'MG', 'NA', '74C', 'ND4', 'NH4', 'F', 'OH', 'NH3', 'HOH', 'AL', 'NH2', 'D3O', 'O']	42429533	154228	14
1	['SO4', '2HP', 'GB', '03S', 'FPO', '2PA', 'PO4', 'FUS', 'LCP', 'PI']	98033	25127	10
2	['AR', 'K', 'CA', 'H2S', 'CL']	89174	26990	5
3	['3NI', 'ZN', '3CO', 'CU', 'CO', 'NI', 'MN3', 'FE2', 'V', 'CR', 'MN', 'GA', 'CU1', 'FE', '4TI']	82518	25769	15
4	['GOL', '2HA', 'MEU', 'MMU', 'SEL']	60710	16919	5
5	['EDN', '3CN', 'EDO', 'NBU', 'ETA', 'NOE', 'AEM', 'AYE', '2ME', 'ETN', 'AXO', 'POL', 'GXT', '5VQ']	59540	10177	14
6	['NAG']	58468	7331	1
7	['TE6', 'OHX']	36634	38	2
8	['BO3', 'BCT', 'ACT', 'MEB', '7BZ', 'NO3', 'ACM', 'KEN', 'URE', 'AF3', 'CO3', 'ACN', 'IPA', 'OUT', 'GAI', 'MGF', 'ACY']	23877	8199	17
9	['PT4', 'PR', 'DY', 'BS3', 'IR3', 'U1', 'CF', 'TA0', 'PB', 'ER3', 'RE', 'W', 'SM', 'HO3', 'OS', 'CE', 'SB', 'OS4', 'CS', 'EU', 'AU3', 'PT', 'IR', 'AM', '4PU', 'TB', 'GD', 'IOD', 'GD3', 'ZCM', 'BA', 'YB', 'XE', 'TH', 'HO', 'YB2', 'HG', 'LA', 'AU', 'LU', 'TL', 'EU3', 'TE']	17080	2629	43
10	['MAF', 'M96', 'MAN', '95Z']	13604	2428	4
11	['CLA', 'PHO']	12790	189	2
12	['HEM', 'RUR', '3ZZ', 'PP9', 'GIX']	10685	4691	5
13	['SFO', 'SO3', 'LCO', '78T', 'PHS', '2PO', 'DMS', 'VXA', 'PO3']	10276	2123	9
14	['HP6', 'PEG', 'YIV', 'HE2', 'N2P', '9JE', 'PTD', 'GAQ', '1KA', 'ARN']	8551	3148	10
15	['NSM', 'HDN', 'TME', 'DMN', '2NO', 'ACE', 'ARF', 'EOH', 'FMT', '2F2', 'NEH', 'NO2']	7942	1754	12
16	['BR', 'SR', 'ARS', 'KR', 'RB', 'SE']	7805	764	6
17	['ZWZ', 'MFB', 'MBF', 'FMF', 'BMA']	7674	2410	5
18	['YT3', 'RU', 'AG', 'RH3', 'CD', 'ZR', 'MO', 'Y1', 'PD', 'RH', 'IN', '6MO', '4MO']	6576	1246	13
19	['MPD', 'MRD']	6569	2098	2
20	['ANP', 'ATP', 'ACP', 'APC', 'ITT', '7DT', 'ZAN']	5643	2578	7
21	['ADP', 'AU1', 'ADX', 'IDP', '3AN', 'AP2', 'AN2', 'A12', '7DD', 'M33']	5550	2295	10
22	['FAD', 'FAE']	4680	2158	2
23	['NAD', '2NF', 'A3D', 'NAJ', 'DQV', 'CNA', 'CND', 'PAD', 'DND', 'NHD']	4185	1435	10
24	['G3F', 'SHG', 'BGC', 'GCS']	4169	923	4
25	['TOA', 'PA1', 'GLC', 'GLF', 'G2F', 'GDA', 'BDG']	3628	818	7
26	['WCC', 'SF4']	3587	1103	2
27	['TRD', 'PAW', 'PG4', '1DO', 'DFD', 'PGF', 'SPE', 'DEM']	3257	1369	8
28	['DN4', 'NDO', 'NAP', 'N01']	3189	1332	4
29	['GAL', '1GN', '2FG', '2H5']	3179	1106	4
30	['DIA', 'D10', 'PGE', 'SPD', 'ODI', 'AOP', 'ME2', '104', 'HPL', 'F09', 'SR0']	3172	1415	11
31	['FUC']	3139	1266	1
32	['HOA', 'OXY', 'MOH', 'CYN', 'NO', 'PER', 'HDZ', 'NME', 'HZN', '3P8', 'FOR', 'CMO', 'PEO', 'C2H']	3131	1347	14
33	['A33', 'CIT', 'FLC']	2960	1456	3
34	['MES']	2840	1466	1
35	['G2P', 'GNP', 'GCP', 'JSQ', 'GTP']	2795	1294	5
36	['HEC']	2485	552	1
37	['5B0', 'PLP', 'PZP', 'PXP', 'PMP']	2412	1139	5
38	['TRS', '144']	2362	1436	2
39	['GDP', 'GNH', 'GP2']	2347	1186	3
40	['FMN', '9O9']	2268	1127	2
41	['BCR']	2259	106	1
42	['R16', '1PE', '4E6']	2148	713	3
43	['XL3', 'BME', 'DHL']	2104	933	3
44	['61G', '5OZ', 'NML', 'AKR', 'HGU', 'MGX', 'IBN', 'F3V', 'NHY', 'GOA', 'F50', '4Y8', 'ROP', 'FAH', 'HVB', 'PPI', 'FTM', '1HC', 'HAE', 'NMU', 'GLV', 'GM1', 'NIE', '3QD', 'DMF', 'AGU', 'GLY']	2030	545	27
45	['MVC', 'OLC']	1941	265	2
46	['EPE']	1886	1024	1
47	['PEB']	1857	16	1
48	['HUH', 'PZO', 'TRI', 'IMD']	1856	774	4
49	['MLI', 'IVA', 'MLM', 'P2D', 'AAE', 'C5J', 'MLA', 'DMG']	1834	904	8
50	['8AN', 'FMP', 'ABM', 'IRP', 'ND7', '45A', 'AMP', 'A', 'IMP', 'LMS', 'JZU']	1822	845	11
51	['SIB', 'SAO', 'SAH']	1770	923	3
52	['5J8', 'NDP']	1649	708	2
53	['FES', 'GAK']	1602	676	2
54	['Y69', 'C8E', '7PE']	1532	220	3
55	['LDA', 'CAT']	1527	195	2
56	['MC3', 'PX4']	1523	68	2
57	['LMT']	1383	255	1
58	['BOG']	1331	444	1
59	['COA']	1262	530	1
60	['SCN']	1158	380	1
61	['SIA']	1153	436	1
62	['NDG']	1144	480	1
63	['IDS']	1105	52	1
64	['GGL', 'OAS', 'GLU', 'GPA', 'GLN', 'ONL', 'S2G', 'GLJ', 'URQ', '9ON']	1080	431	10
65	['WM1', 'JGD', 'UNU', 'NCA', 'PBC', 'NTN', 'NIO', 'BAM', 'VGL', 'BEN', 'PZA', '6PC', 'NBZ', 'AC0', 'BEZ']	1078	523	15
66	['4AB', 'H4B']	1070	539	2
67	['ODT', 'LNL', 'OP2', 'STE', 'VCA', 'ELA', 'EIC', 'ELD', 'ODD', 'OLA']	1069	242	10
68	['SGN', 'NNG', 'YJM']	1043	59	3
69	['LHG']	1034	96	1
70	['6AH', '16D', 'HE4', 'HEZ', 'OCT', 'PG0']	1032	331	6
71	['XYP', 'BXF']	1012	260	2
72	['2IT', 'AKG', 'OGA']	1005	658	3
73	['UDP', 'CDP', '44P']	980	484	3
74	['CHL']	932	23	1
75	['5Y9', 'OXL', 'BUO', 'OXD', 'IBO', 'NAK', 'PYR', 'OXM', 'NIS', 'DHA', 'PYM', 'ALQ']	929	335	12
76	['GSH']	927	397	1
77	['LMG']	922	81	1
78	['P15', 'LFA', '16P']	884	63	3
79	['PC1', 'DLP', 'PCW']	882	95	3
80	['SAM']	879	490	1
81	['MDN', 'PPV', 'PSL', '2PN', 'POP', 'DPO']	867	480	6
82	['PAM', 'PLM']	859	371	2
83	['OCD', 'P6G']	839	375	2
84	['TRP', 'LTN', '3IL']	810	167	3
85	['TLA']	807	427	1
86	['CAD', 'CAC', 'SE4', '8AR', 'ART']	805	381	5
87	['MNC', 'CO2', 'CCN', 'CNN', '0NM', 'N2O', 'AZI']	758	332	7
88	['6V0', 'NAI']	729	246	2
89	['AGS']	729	184	1
90	['X6X', 'GAF', 'GLA']	725	225	3
91	['UGY', 'ASN', 'ASP', 'IAS', 'LEU', 'LMR', 'SUH']	719	314	7
92	['4HA', 'XAP', 'DXE', 'AML', 'HEX', 'PE9', 'N3D', 'ETX', 'PTL', 'BU1', 'BXO', '2FU', 'PUT']	707	216	13
93	['9U3', '4MV', 'SHF', 'NMG', 'MAE', 'SIN', '3NP', 'FUM', 'AAC']	678	301	9
94	['2A1', 'FOP', 'SBT', '2A3', 'PGR', 'PGO']	669	179	6
95	['DGD']	645	81	1
96	['PGV', 'PGW']	640	79	2
97	['CHX', 'B20', '6LR', 'PYE', 'PZE', 'DIO']	622	186	6
98	['NHE', 'MPO']	598	297	2
99	['BTB', 'YES']	595	233	2
100	['DCM', 'DUS', 'UMP', 'DC', 'DU']	578	233	5
101	['NTB', 'BO4', 'TBU', 'BA9', 'MF4', 'TMA', 'TMO', 'ALF']	571	261	8
102	['N1T', 'TDP', 'N3T', 'VNP', 'TPP', 'D2X', 'TPW']	567	216	7
103	['RET', 'RNE', 'RTL']	556	374	3
104	['D0N', 'MAL']	550	277	2
105	['C', 'CH', 'U5P', '3DU', 'U', 'PSU', 'UFT', 'UP6', 'C5P']	550	250	9
106	['BL8', 'CYC']	548	80	2
107	['PLC']	530	61	1
108	['UHH', 'CHD']	518	91	2
109	['ARG', 'AAR', 'GGB', 'DHH', 'CIR', 'GND', 'ILO', 'NPI', 'MLY', 'ARM', '6HN']	516	248	11
110	['SUC']	513	259	1
111	['BEF']	509	178	1
112	['TBN', '5N5', '7CY', 'FMB', 'IMH', 'NOS', '1DA', 'AD3', 'FMC', 'UA2', '9DI', '2AD', 'FWK', 'ADN']	508	243	14
113	['CDL']	503	158	1
114	['MYZ', 'B0S', 'SSV', 'MYR']	501	211	4
115	['A2G']	498	165	1
